config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	sup_bio_method	sup_bio_min_count	sup_bio_var_floor	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
1	0.7299197979271411	0.19455091282725334	0.7648126929998398	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.9	0.1	0.6	False	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	4	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
2	0.7317266054451466	0.1916464976966381	0.7715430110692978	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.6	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.6	0.3	0.2	True	0.0	4.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	3	10	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
3	0.731432169675827	0.1889793649315834	0.7749325782060623	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	0.5	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.6	0.01	0.1	120	True	30000	logit	10	0.001	0.0	0.0	1.0	0.8	False	0.0	2.0	0.0	1.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	3	10	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
4	0.7315871842205524	0.18827291950583458	0.7761632353067398	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	1.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	1.0	0.01	0.1	120	True	30000	logit	10	0.001	0.0	0.9	0.1	0.4	False	0.0	2.0	0.0	1.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	4	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
5	0.7314735621213913	0.19001320749521255	0.7735147923231125	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.3	1.0	0.4	False	0.0	2.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	2	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
6	0.7318466164171695	0.19167780503630638	0.7716697305440903	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	1.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.6	0.01	0.1	120	True	30000	logit	10	0.001	0.0	0.9	0.3	0.2	True	0.0	2.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	4	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
7	0.7311806939542294	0.19625700637698174	0.7641766965389252	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	1.0	0.01	0.1	120	True	30000	gauss	10	0.001	0.0	0.3	0.1	0.6	True	0.0	1.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	2	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
8	0.7315113142132759	0.19668563455343246	0.7640366852283478	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	10	0.001	0.0	0.3	1.0	0.6	False	0.0	2.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	2	10	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
9	0.7315007477998733	0.1967129111289978	0.7639826238155365	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	10	0.001	0.0	0.6	0.1	0.8	True	0.0	2.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	3	20	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
10	0.7305510893464088	0.19512483477592468	0.764894649386406	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.3	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.6	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.9	0.1	0.4	False	0.0	4.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	4	10	0.3	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
